mains,name,requires veggie,requires side,requires salad
,Turkey Tacos,,,
,Ground Turkey & Pesto Pasta,,,
,Tortellini,,TRUE,
,BBQ chicken thighs,TRUE,,
,Paprika chicken thighs,TRUE,,
,Mustard chicken,TRUE,,
,Spaghetti and Meatballs,,TRUE,
,Ooni pizza,,,
,Jambalaya,,,
,Enchiladas,,,
,Quiche,,,
,Traeger chicken thighs,,,TRUE
,Traeger whole chicken,,,TRUE
,Traeger ribs,,,TRUE
,Burgers,,,
,Skirt steak,TRUE,,
,Shrimp Scampi with Orzo,,,
,Shrimp Tacos,,,
,Shrimp and grits/orzo,,,
,Salmon fettuccine,,TRUE,
,Grilled salmon,,,
,Meatball sandwiches,,,
,Detroit Pizza,,,
,Panini,,,
,Sous Vide Chicken,,,TRUE
,Chicken kiev,,,
,Pizza cake,,,
,Cacio e pepe,,TRUE,
,Carbonara,,TRUE,
,Tomato Pasta,,TRUE,
,Lasagna,,TRUE,
,Jumbo shells,,TRUE,
,Chicken fajitas,,,
,Pasta with pesto,,TRUE,
,Quesadillas,,,
,Traeger Pork Butt,TRUE,,
,Sausage bean soup,,,
,Lentil soup,,,
,Chicken enchilada soup,,,
,Mac and cheese,,,
,Prosciutto and goat cheese strata,,,
,Paella,,,TRUE
,Ricotta polenta,,,TRUE
,Chicken spanakopita,,,
,Kofta,,,
,Chicken chili,,,
,Pasta jambalaya,,TRUE,
,Slow cooker salsa verde chicken,,,
,Slow cooker chicken ragu with herbed ricotta,,,
,Chicken pot pie,,,
,Traeger brisket,,,
,Traeger pulled pork,,,
,Pasta bolognese,,TRUE,
,Cornish game hens,,,
,Risotto,,TRUE,
,Chicken Caesar Salad,,,
,Pesto Pizza,,,
,Prosciutto and Arugula Pizza,,,
,Marguerite Pizza,,,
,Meat Pizza,,,
,,,,
,,,,
veggies,,,,
,Riced Cauliflower,,,
,Broccoli,,,
,,,,
salads,,,,
,spinach,,,
,caesar,,,
sides,,,,
,Couscous,,,
,Pesto Pasta,,,
,Chips,,,
,Corn Bread,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ingredients,name,show in grocery list,,
,ground turkey,TRUE,,
,boneless skinless chicken thighs,TRUE,,
,chicken breast,TRUE,,
,shrimp,TRUE,,
,salmon,TRUE,,
,ground beef,TRUE,,
,spicy meatballs,TRUE,,
,hot italian sausage,TRUE,,
,prosciutto,TRUE,,
,turkey meatballs,TRUE,,
,eggs,TRUE,,
,burrata,TRUE,,
,fresh mozzarella,TRUE,,
,shredded mozzarella,TRUE,,
,shredded italian cheese,TRUE,,
,shredded mexican cheese,TRUE,,
,goat cheese,TRUE,,
,detroit pizza cheese,TRUE,,
,parmesan cheese,TRUE,,
,pecorino cheese,TRUE,,
,pepper jack cheese slices,TRUE,,
,cheddar cheese slices,TRUE,,
,havarti cheese slices,TRUE,,
,butter,TRUE,,
,half and half,TRUE,,
,tortellini,TRUE,,
,bucatini,TRUE,,
,fettucine,TRUE,,
,orzo,TRUE,,
,whole grain spaghetti,TRUE,,
,whole grain elbows,TRUE,,
,couscous,TRUE,,
,rao's arrabbiata,TRUE,,
,low fat pesto,TRUE,,
,enchilada sauce,TRUE,,
,spicy ranch dressing,TRUE,,
,lite caesar salad dressing,TRUE,,
,salsa,TRUE,,
,croutons,TRUE,,
,pine nuts,TRUE,,
,fresh basil,TRUE,,
,spinach,TRUE,,
,arugula,TRUE,,
,broccoli,TRUE,,
,riced vegetables,TRUE,,
,fresh dill,TRUE,,
,green onions,TRUE,,
,olive oil,FALSE,,
,active dry yeast,TRUE,,
,bread flour,FALSE,,
,instant yeast,TRUE,,
,sea salt,FALSE,,
,garlic,TRUE,,
,dijon mustard,TRUE,,
,black pepper,TRUE,,
,red pepper flakes,TRUE,,
,taco seasoning,TRUE,,
,paprika,TRUE,,
,chicken stock,TRUE,,
,sourdough bread,TRUE,,
,corn tortillas,TRUE,,
,chips - extra thick and crunchy,TRUE,,
,black beans,TRUE,,
,pizza dough,FALSE,,
,burger buns,TRUE,,
,,,,
ingredient in dish,dish,ingredient,,
,Ground Turkey & Pesto Pasta,ground turkey,,
,Ground Turkey & Pesto Pasta,low fat pesto,,
,Ground Turkey & Pesto Pasta,whole grain elbows,,
,,,,
,BBQ chicken thighs,boneless skinless chicken thighs,,
,BBQ chicken thighs,spicy ranch dressing,,
,,,,
,Turkey Tacos,ground turkey,,
,Turkey Tacos,taco seasoning,,
,Turkey Tacos,black beans,,
,Turkey Tacos,shredded mexican cheese,,
,Turkey Tacos,salsa,,
,,,,
,Shrimp Tacos,shrimp,,
,Shrimp Tacos,salsa,,
,Shrimp Tacos,corn tortillas,,
,Shrimp Tacos,shredded mexican cheese,,
,,,,
,Tortellini,tortellini,,
,Tortellini,parmesan cheese,,
,Tortellini,butter,,
,,,,
,Spaghetti and Meatballs,rao's arrabbiata,,
,Spaghetti and Meatballs,turkey meatballs,,
,Spaghetti and Meatballs,whole grain spaghetti,,
,Spaghetti and Meatballs,parmesan cheese,,
,,,,
,Sous Vide Chicken,chicken breast,,
,Sous Vide Chicken,low fat pesto,,
,,,,
,Chicken Caesar Salad,chicken breast,,
,Chicken Caesar Salad,spinach,,
,Chicken Caesar Salad,lite caesar salad dressing,,
,Chicken Caesar Salad,parmesan cheese,,
,,,,
,Pesto Pizza,pizza dough,,
,Pesto Pizza,low fat pesto,,
,Pesto Pizza,goat cheese,,
,Pesto Pizza,pine nuts,,
,,,,
,Prosciutto and Arugula Pizza,pizza dough,,
,Prosciutto and Arugula Pizza,prosciutto,,
,Prosciutto and Arugula Pizza,arugula,,
,Prosciutto and Arugula Pizza,burrata,,
,,,,
,Marguerite Pizza,pizza dough,,
,Marguerite Pizza,rao's arrabbiata,,
,Marguerite Pizza,fresh basil,,
,Marguerite Pizza,fresh mozzarella,,
,,,,
,Meat Pizza,pizza dough,,
,Meat Pizza,spicy meatballs,,
,Meat Pizza,hot italian sausage,,
,Meat Pizza,rao's arrabbiata,,
,Meat Pizza,shredded italian cheese,,
,Meat Pizza,shredded mozzarella,,
,,,,
,Detroit Pizza,pizza dough,,
,Detroit Pizza,detroit pizza cheese,,
,Detroit Pizza,rao's arrabbiata,,
,Detroit Pizza,spicy meatballs,,
,Detroit Pizza,hot italian sausage,,
,,,,
,Burgers,ground beef,,
,Burgers,burger buns,,
,Burgers,pepper jack cheese slices,,
,Burgers,havarti cheese slices,,
,,,,
,Shrimp Scampi with Orzo,shrimp,,
,Shrimp Scampi with Orzo,orzo,,
,Shrimp Scampi with Orzo,red pepper flakes,,
,Shrimp Scampi with Orzo,black pepper,,
,Shrimp Scampi with Orzo,garlic,,
,Shrimp Scampi with Orzo,butter,,
,Shrimp Scampi with Orzo,chicken stock,,
